URLs Downloaded, size, # of outlinks found, content-type
http://www.bostonglobe.com/,114627,323,text/html
http://www.bostonglobe.com/sports/2017/09/25/when-bottled-water-ran-out-gillette-stadium-charged-fans-for-tap-water/Yj00PRFHePrRjzNx63qMPK/story.html?p1=BGMenu_Article,48236,106,text/html
http://www.bostonglobe.com/metro/2017/09/25/donald-trump-gridiron-newest-genius/i8c5KHzRgUEpoQjaJNj4fO/story.html,51659,108,text/html
http://www.bostonglobe.com/sports/patriots/2017/09/24/tom-brady-the-politically-correct-miracle-man/A57x2YlRKSW5Wtc6GHjiCM/story.html,7608,24,text/html
http://www.bostonglobe.com/business/2017/09/25/tuesday-business-agenda/8vJoXF406qTqha4N6dy1fJ/story.html,44419,100,text/html
http://www.bostonglobe.com/news/politics/2017/09/25/watch-live-white-house-press-conference/ULjxPDeZP2ak4DhhJAb51K/story.html,41274,95,text/html
http://www.bostonglobe.com/sports/patriots/2017/09/25/wake-trump-comments-nfl-stands-its-players/8XdycZ2HSoyVK2niYVAEDM/story.html,8578,24,text/html
http://www.bostonglobe.com/business/2017/09/25/broken-elevator-taxes-patience-and-knee-elderly-condo-owner-and-there-end-sight/2MPTXR10pKLgwguixqOTQO/story.html,54466,105,text/html
http://www.bostonglobe.com/metro?p1=BGHeader_SectionLink,134089,205,text/html
http://www.bostonglobe.com/sports/patriots/2017/09/25/bill-belichick-expresses-immense-respect-for-how-patriots-players-conduct-themselves/KWlmBqPunmIZd28uHUOJ5N/story.html,7792,24,text/html
https://www.bostonglobe.com/metro/2017/09/25/donald-trump-gridiron-newest-genius/i8c5KHzRgUEpoQjaJNj4fO/story.html,51659,107,text/html
http://www.bostonglobe.com/lifestyle/2017/09/22/molly-pidgeon-and-charlestown-renovation-coming-hgtv/WqFbZO1IH1ZXDT1cAMox6L/story.html,47966,98,text/html
http://www.bostonglobe.com/arts/music,103082,230,text/html
http://www.bostonglobe.com/news/nation/2017/09/25/weiner-gets-months-prison-for-sexting-with-teenager/K6dfQkr7rrU8iCRLkJkEnK/story.html,48020,95,text/html
http://www.bostonglobe.com/arts/television/2017/09/21/eight-welcome-back/o3RsdZmkE1JtwSa79PwDYP/story.html,89424,65,text/html
https://www.bostonglobe.com/metro/2017/09/25/donald-trump-gridiron-newest-genius/i8c5KHzRgUEpoQjaJNj4fO/amp.html,29798,29,text/html
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-60x60.png,1150,0,image/png
http://www.bostonglobe.com/metro/2017/09/25/gas-and-common-buy-spray-ingredient-found-marcotte/05ORK2h3B5NpKvha8YXBYK/story.html?p1=BGMenu_Article,47273,95,text/html
http://www.bostonglobe.com/magazine/2017/09/24,75043,199,text/html
http://www.bostonglobe.com/sports?p1=BGHeader_MainNav,115907,292,text/html
